Club,Vertical Distance,Horizontal Distance,Date
Wedge,0.3,-0.2,2026-07-12
Wedge,-0.4,0.3,2026-07-12
Wedge,0.2,0.1,2026-07-12
Wedge,-0.1,-0.3,2026-07-12
Wedge,0.5,0.2,2026-07-12
Wedge,-0.2,0.4,2026-07-15
Wedge,0.3,-0.1,2026-07-15
Wedge,-0.3,0.2,2026-07-15
Wedge,0.1,0.3,2026-07-15
Wedge,-0.4,-0.2,2026-07-15
Wedge,0.2,0.1,2026-07-20
Wedge,-0.1,-0.3,2026-07-20
Wedge,0.4,0.2,2026-07-20
Wedge,-0.3,0.1,2026-07-20
Wedge,0.1,-0.2,2026-07-20
Wedge,-0.2,0.3,2026-07-25
Wedge,0.3,-0.1,2026-07-25
Wedge,0.1,0.2,2026-07-25
Wedge,-0.4,0.1,2026-07-25
Wedge,0.2,-0.3,2026-07-25
Wedge,-0.1,0.2,2026-07-30
Wedge,0.3,0.1,2026-07-30
Wedge,-0.2,-0.1,2026-07-30
Wedge,0.1,0.3,2026-07-30
Wedge,-0.3,0.2,2026-07-30
Wedge,0.2,-0.1,2026-08-03
Wedge,-0.1,0.2,2026-08-03
Wedge,0.4,-0.2,2026-08-03
Wedge,-0.2,0.1,2026-08-03
Wedge,0.1,0.3,2026-08-03
9 Iron,4.5,-3.5,2026-07-12
9 Iron,-3.8,4.0,2026-07-12
9 Iron,5.0,2.5,2026-07-12
9 Iron,-2.5,-3.8,2026-07-12
9 Iron,3.5,3.0,2026-07-12
9 Iron,4.0,-2.5,2026-07-15
9 Iron,-4.5,3.0,2026-07-15
9 Iron,2.8,-4.5,2026-07-15
9 Iron,-3.0,3.5,2026-07-15
9 Iron,5.5,1.5,2026-07-15
9 Iron,-2.0,-3.0,2026-07-20
9 Iron,3.8,4.0,2026-07-20
9 Iron,-4.0,2.0,2026-07-20
9 Iron,3.0,-3.5,2026-07-20
9 Iron,-3.5,2.5,2026-07-20
9 Iron,4.2,-1.5,2026-07-25
9 Iron,-3.2,3.8,2026-07-25
9 Iron,3.5,2.0,2026-07-25
9 Iron,-5.0,-1.5,2026-07-25
9 Iron,2.0,3.5,2026-07-25
9 Iron,3.8,-2.8,2026-07-30
